Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(13163, 12460, 0)",,,,,,,Point,
"(14135, 15514, 1)",,,,,,,Point,
"(12471, 13040, 2)",,,,,,,Point,
"(12543, 13719, 3)",,,,,,,Point,
"(13463, 14372, 4)",,,,,,,Point,
"(14670, 13908, 5)",,,,,,,Point,
"(14037, 16062, 6)",,,,,,,Point,
"(13900, 13451, 7)",,,,,,,Point,
"(12347, 13863, 8)",,,,,,,Point,
"(13561, 15846, 9)",,,,,,,Point,
"(14018, 13373, 10)",,,,,,,Point,
"(13633, 16519, 11)",,,,,,,Point,
"(12301, 14104, 12)",,,,,,,Point,
"(13515, 13699, 13)",,,,,,,Point,
"(13548, 14424, 14)",,,,,,,Point,
"(13894, 13556, 15)",,,,,,,Point,
"(12484, 13934, 16)",,,,,,,Point,
"(14357, 13360, 17)",,,,,,,Point,
"(14455, 15194, 18)",,,,,,,Point,
"(12549, 12218, 19)",,,,,,,Point,
"(13639, 14952, 20)",,,,,,,Point,
"(15212, 11892, 21)",,,,,,,Point,
"(14442, 12975, 22)",,,,,,,Point,
"(14305, 13634, 23)",,,,,,,Point,
"(12680, 12473, 24)",,,,,,,Point,
"(12406, 12805, 25)",,,,,,,Point,
"(12595, 12681, 26)",,,,,,,Point,
"(12367, 13399, 27)",,,,,,,Point,
"(14089, 13562, 28)",,,,,,,Point,
"(13848, 13830, 29)",,,,,,,Point,
"(11755, 17859, 30)",,,,,,,Point,
"(12847, 12898, 31)",,,,,,,Point,
"(13145, 15747, 32)",,,,,,,Point,
"(13238, 12694, 33)",,,,,,,Point,
"(10542, 13255, 34)",,,,,,,Point,
"(14436, 13260, 35)",,,,,,,Point,
"(13115, 12156, 36)",,,,,,,Point,
"(14269, 12419, 37)",,,,,,,Point,
"(11846, 12931, 38)",,,,,,,Point,
"(13966, 13419, 39)",,,,,,,Point,
"(11465, 13555, 40)",,,,,,,Point,
"(12384, 14031, 41)",,,,,,,Point,
"(14366, 13402, 42)",,,,,,,Point,
"(12775, 13725, 43)",,,,,,,Point,
"(13578, 13760, 44)",,,,,,,Point,
"(12088, 15286, 45)",,,,,,,Point,
