Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(13093, 15030, 1)",,,,,,,Point,
"(11435, 12589, 2)",,,,,,,Point,
"(11527, 13288, 3)",,,,,,,Point,
"(12453, 13960, 4)",,,,,,,Point,
"(13648, 13505, 5)",,,,,,,Point,
"(13017, 15667, 6)",,,,,,,Point,
"(12897, 13099, 7)",,,,,,,Point,
"(11313, 13530, 8)",,,,,,,Point,
"(12555, 15563, 9)",,,,,,,Point,
"(12997, 13122, 10)",,,,,,,Point,
"(12649, 16269, 11)",,,,,,,Point,
"(11322, 13862, 12)",,,,,,,Point,
"(12504, 13496, 13)",,,,,,,Point,
"(12555, 14270, 14)",,,,,,,Point,
"(12870, 13403, 15)",,,,,,,Point,
"(11466, 13820, 16)",,,,,,,Point,
"(15427, 13411, 17)",,,,,,,Point,
"(14594, 14185, 18)",,,,,,,Point,
"(11642, 11736, 19)",,,,,,,Point,
"(12689, 14577, 20)",,,,,,,Point,
"(14322, 11395, 21)",,,,,,,Point,
"(13565, 12510, 22)",,,,,,,Point,
"(13386, 13216, 23)",,,,,,,Point,
"(11736, 12127, 24)",,,,,,,Point,
"(11472, 12484, 25)",,,,,,,Point,
"(11617, 12433, 26)",,,,,,,Point,
"(11438, 13182, 27)",,,,,,,Point,
"(13148, 13403, 28)",,,,,,,Point,
"(12927, 13726, 29)",,,,,,,Point,
"(10826, 17783, 30)",,,,,,,Point,
"(11898, 12858, 31)",,,,,,,Point,
"(12229, 15784, 32)",,,,,,,Point,
"(12272, 12765, 33)",,,,,,,Point,
"(9652, 12952, 34)",,,,,,,Point,
"(13548, 12952, 35)",,,,,,,Point,
"(12170, 11897, 36)",,,,,,,Point,
"(13377, 12186, 37)",,,,,,,Point,
"(10928, 12722, 38)",,,,,,,Point,
"(13046, 13250, 39)",,,,,,,Point,
"(10562, 13394, 40)",,,,,,,Point,
"(11549, 13896, 41)",,,,,,,Point,
"(13480, 13250, 42)",,,,,,,Point,
"(11923, 13615, 43)",,,,,,,Point,
"(12672, 13641, 44)",,,,,,,Point,
"(11217, 15155, 45)",,,,,,,Point,
"(12995, 15699, 46)",,,,,,,Point,
"(11251, 15172, 47)",,,,,,,Point,
"(13046, 15249, 48)",,,,,,,Point,
"(11192, 15929, 49)",,,,,,,Point,
"(8929, 16040, 50)",,,,,,,Point,
"(12493, 13445, 51)",,,,,,,Point,
"(12178, 14849, 52)",,,,,,,Point,
"(8657, 13649, 53)",,,,,,,Point,
"(10605, 16720, 54)",,,,,,,Point,
"(13913, 14075, 55)",,,,,,,Point,
"(11872, 13012, 56)",,,,,,,Point,
"(11829, 13318, 57)",,,,,,,Point,
"(11140, 13360, 58)",,,,,,,Point,
"(13275, 13233, 59)",,,,,,,Point,
"(13879, 12739, 60)",,,,,,,Point,
"(11192, 13292, 61)",,,,,,,Point,
"(13139, 12978, 62)",,,,,,,Point,
"(13607, 14279, 63)",,,,,,,Point,
"(13633, 13939, 64)",,,,,,,Point,
"(14160, 16065, 65)",,,,,,,Point,
"(13556, 13649, 66)",,,,,,,Point,
"(13080, 15989, 67)",,,,,,,Point,
"(13403, 13888, 68)",,,,,,,Point,
"(13020, 13905, 69)",,,,,,,Point,
"(12867, 14015, 70)",,,,,,,Point,
